ts	status	candidate	params	top	train_cagr	train_dd	ret_dd	h1	h2	fwd_cagr	fwd_dd	fwd_bench	note
2026-09-26T10:12:28Z	baseline	strat_l25o_liqgap	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	first entry [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T10:12:57Z	keep	strat_l25o_liqgap	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 2, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	29.682	-18.022	1.647	31.645	27.838	blind	blind	blind	beats best on robust by 0.685 > margin 0.160 [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.4 ystd=58.4 robust=2.806 rmin=0.000 noise_sd=0.160]
2026-09-26T10:13:09Z	discard	strat_l25o_liqgap	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 3, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	29.673	-16.747	1.772	30.346	29.035	blind	blind	blind	TRAIN 2.628 <= best 2.806 + margin 0.245 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.4 ystd=58.8 robust=2.628 rmin=0.000 noise_sd=0.245]
2026-09-26T10:13:20Z	discard	strat_l25o_liqgap	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 2, "gd_vm": 2.0, "gd_w": 0.3, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	29.527	-17.235	1.713	29.565	29.490	blind	blind	blind	TRAIN 2.568 <= best 2.806 + margin 0.188 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.8 ystd=58.5 robust=2.568 rmin=0.000 noise_sd=0.188]
2026-09-26T10:13:32Z	discard	strat_l25o_liqgap	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "gd_gap": 0.03, "gd_lb": 2, "gd_placebo": 1, "gd_vm": 2.0, "gd_w": 0.15, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	28.108	-17.835	1.576	28.273	27.951	blind	blind	blind	TRAIN 1.888 <= best 2.806 + margin 0.102 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.4 ystd=58.6 robust=1.888 rmin=0.000 noise_sd=0.102]
2026-09-26T10:13:39Z	discard	strat_l23a_liqrank	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lr_days": 40, "lr_n": 600, "lr_shift": 0.05, "lr_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.806 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T10:13:47Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 18, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	29.295	-17.528	1.671	28.860	29.711	blind	blind	blind	TRAIN 2.175 <= best 2.806 + margin 0.207 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=54.7 robust=2.175 rmin=0.000 noise_sd=0.207]
2026-09-26T10:13:55Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "max_hold": 6, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	29.669	-17.220	1.723	27.778	31.498	blind	blind	blind	TRAIN 2.066 <= best 2.806 + margin 0.154 [robust] [risk:max_hold=6 top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.0 ystd=56.2 robust=2.066 rmin=0.000 noise_sd=0.154]
2026-09-26T10:14:23Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 20, "weighting": "invvol"}	20	33.411	-16.548	2.019	33.411	33.411	blind	blind	blind	TRAIN 2.658 <= best 2.806 + margin 0.186 [robust] [risk:top=20 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.2 ystd=59.7 robust=2.658 rmin=0.000 noise_sd=0.186]
2026-09-26T10:14:31Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 23, "weighting": "invvol"}	23	32.415	-16.811	1.928	32.022	32.791	blind	blind	blind	TRAIN 2.456 <= best 2.806 + margin 0.162 [robust] [risk:top=23 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.2 ystd=59.4 robust=2.456 rmin=0.000 noise_sd=0.162]
2026-09-26T10:14:39Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.6, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	29.931	-17.762	1.685	28.236	31.568	blind	blind	blind	TRAIN 2.115 <= best 2.806 + margin 0.118 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-15.4 ystd=56.5 robust=2.115 rmin=0.000 noise_sd=0.118]
2026-09-26T10:14:47Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.5, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	31.545	-17.220	1.832	29.665	33.362	blind	blind	blind	TRAIN 2.180 <= best 2.806 + margin 0.162 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-11.0 ystd=55.7 robust=2.180 rmin=0.000 noise_sd=0.162]
2026-09-26T10:14:56Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 14, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.113	-17.220	1.749	28.763	31.413	blind	blind	blind	TRAIN 2.132 <= best 2.806 + margin 0.158 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.6 robust=2.132 rmin=0.000 noise_sd=0.158]
2026-09-26T10:15:04Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 12, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.175	-17.220	1.752	28.889	31.413	blind	blind	blind	TRAIN 2.139 <= best 2.806 + margin 0.158 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.3 ystd=56.5 robust=2.139 rmin=0.000 noise_sd=0.158]
2026-09-26T10:15:12Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.08, "regime_ma": 18, "top": 25, "weighting": "invvol"}	25	30.090	-17.220	1.747	28.557	31.568	blind	blind	blind	TRAIN 2.121 <= best 2.806 + margin 0.161 [robust] [risk:top=25 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.6 ystd=56.4 robust=2.121 rmin=0.000 noise_sd=0.161]
2026-09-26T10:25:27Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 21, "weighting": "invvol"}	21	32.953	-16.402	2.009	33.683	32.261	blind	blind	blind	TRAIN 2.613 <= best 2.806 + margin 0.164 [robust] [risk:top=21 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-13.8 ystd=57.6 robust=2.613 rmin=0.000 noise_sd=0.164]
2026-09-26T10:25:35Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 22, "weighting": "invvol"}	22	33.346	-16.785	1.987	33.779	32.934	blind	blind	blind	TRAIN 2.661 <= best 2.806 + margin 0.221 [robust] [risk:top=22 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.3 ystd=59.3 robust=2.661 rmin=0.000 noise_sd=0.221]
2026-09-26T10:25:42Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 24, "weighting": "invvol"}	24	31.597	-17.048	1.853	29.616	33.514	blind	blind	blind	TRAIN 2.098 <= best 2.806 + margin 0.136 [robust] [risk:top=24 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-14.2 ystd=60.1 robust=2.098 rmin=0.000 noise_sd=0.136]
2026-09-26T10:25:50Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 17, "top": 22, "weighting": "invvol"}	22	31.645	-16.785	1.885	30.308	32.934	blind	blind	blind	TRAIN 2.300 <= best 2.806 + margin 0.187 [robust] [risk:top=22 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-12.5 ystd=59.1 robust=2.300 rmin=0.000 noise_sd=0.187]
2026-09-26T10:25:58Z	discard	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 19, "top": 22, "weighting": "invvol"}	22	29.721	-16.785	1.771	28.641	30.760	blind	blind	blind	TRAIN 1.778 <= best 2.806 + margin 0.154 [robust] [risk:top=22 weighting=invvol select:robust exec:realistic fill=next_open lock=1 min_tv=5e+06 cost=50rt expo=1 minyr=-16.4 ystd=61.2 robust=1.778 rmin=0.000 noise_sd=0.154]
